          0.90000000      4.360004760016E+03
          0.92500000      3.494126564902E+03
          0.95000000      2.810242100208E+03
          0.97500000      2.268669603602E+03
          1.00000000      1.839056943803E+03
          1.02500000      1.497972440107E+03
          1.05000000      1.226985844875E+03
          1.07500000      1.011361037598E+03
          1.10000000      8.392167962121E+02
          1.12500000      7.009855705544E+02
          1.15000000      5.890374167636E+02
          1.17500000      4.973845832556E+02
          1.20000000      4.214214034361E+02
          1.22500000      3.576814339028E+02
          1.25000000      3.036095068358E+02
          1.27500000      2.573534256294E+02
          1.30000000      2.175814091968E+02
          1.32500000      1.833296951782E+02
          1.35000000      1.538818573199E+02
          1.37500000      1.286785846978E+02
          1.40000000      1.072545324975E+02
          1.42500000      8.919758985596E+01
          1.45000000      7.412546641727E+01
          1.47500000      6.167469372136E+01
          1.50000000      5.149774976092E+01
          1.52500000      4.326484045514E+01
          1.55000000      3.666774864185E+01
          1.57500000      3.142397822305E+01
          1.60000000      2.728011385460E+01
          1.62500000      2.401385811570E+01
          1.65000000      2.143459817835E+01
          1.67500000      1.938260893146E+01
          1.70000000      1.772714394516E+01
          1.72500000      1.636372660028E+01
          1.75000000      1.521095663192E+01
          1.77500000      1.420711400724E+01
          1.80000000      1.330678966209E+01
          1.82500000      1.247771372056E+01
          1.85000000      1.169789484999E+01
          1.87500000      1.095313440755E+01
          1.90000000      1.023493846478E+01
          1.92500000      9.538820261834E+00
          1.95000000      8.862964573330E+00
          1.97500000      8.207212585480E+00
          2.00000000      7.572319631319E+00
          2.02500000      6.959436891889E+00
          2.05000000      6.369770455248E+00
          2.07500000      5.804375660728E+00
          2.10000000      5.264050405704E+00
          2.12500000      4.749297283186E+00
          2.15000000      4.260330486756E+00
          2.17500000      3.797109009243E+00
          2.20000000      3.359382555601E+00
          2.22500000      2.946740703348E+00
          2.25000000      2.558659162810E+00
          2.27500000      2.194539565598E+00
          2.30000000      1.853741123388E+00
          2.32500000      1.535603848859E+00
          2.35000000      1.239463919529E+00
          2.37500000      9.646622911760E-01
          2.40000000      7.105479202627E-01
          2.42500000      4.764770086412E-01
          2.45000000      2.618096074113E-01
          2.47500000      6.590475559901E-02
          2.50000000     -1.118848731923E-01
          2.52500000     -2.722180605418E-01
          2.55000000     -4.157693243852E-01
          2.57500000     -5.432320390043E-01
          2.60000000     -6.553202066817E-01
          2.62500000     -7.527688285741E-01
          2.65000000     -8.363329288287E-01
          2.67500000     -9.067853611402E-01
          2.70000000     -9.649135792956E-01
          2.72500000     -1.011515581779E+00
          2.75000000     -1.047395252042E+00
          2.77500000     -1.073357313290E+00
          2.80000000     -1.090202103732E+00
          2.82500000     -1.098720357056E+00
          2.85000000     -1.099688148398E+00
          2.87500000     -1.093862138591E+00
          2.90000000     -1.081975221301E+00
          2.92500000     -1.064732650825E+00
          2.95000000     -1.042808702835E+00
          2.97500000     -1.016843898030E+00
